type,siteID,GPS,ident,Latitude,Longitude,y_proj,x_proj
WAYPOINT,21,NWF,W1,18.321313,-65.817005,2028037.291717,202232.314682
WAYPOINT,22,NWF,W2,18.321250,-65.817033,2028030.360409,202229.245131
WAYPOINT,23,NWF,W3,18.321270,-65.817037,2028032.581911,202228.856302
WAYPOINT,24,NWF,W4,18.321336,-65.817006,2028039.840555,202232.248309
WAYPOINT,25,NWF,W5,18.321138,-65.817038,2028017.964823,202228.524408
WAYPOINT,26,NWF,W6,18.321163,-65.817079,2028020.800601,202224.230559
WAYPOINT,27,NWF,W7,18.321163,-65.817106,2028020.844775,202221.374699
WAYPOINT,28,NWF,W8,18.321202,-65.817065,2028025.096864,202225.778184
WAYPOINT,29,NWF,W9,18.321207,-65.817033,2028025.598249,202229.171470
WAYPOINT,30,NWF,W10,18.321242,-65.816980,2028029.387714,202234.837370
WAYPOINT,31,NWF,W11,18.321303,-65.817068,2028036.287311,202225.633885
WAYPOINT,32,NWF,W12,18.321302,-65.817054,2028036.153658,202227.112987
WAYPOINT,33,NWF,W13,18.321280,-65.817037,2028033.689390,202228.873432
WAYPOINT,34,NWF,W14,18.321297,-65.817015,2028035.536111,202231.229549
WAYPOINT,35,NWF,W15,18.321340,-65.816990,2028040.257369,202233.947520
WAYPOINT,36,NWF,W16,18.321189,-65.816972,2028023.504987,202235.592762
WAYPOINT,37,NWF,W17,18.321295,-65.816972,2028035.244265,202235.774339
WAYPOINT,38,NWF,W18,18.321297,-65.817006,2028035.521386,202232.181501
WAYPOINT,23,shrimp,W19,18.321145,-65.817013,2028018.699157,202231.180714
WAYPOINT,24,shrimp,W20,18.321100,-65.817061,2028013.794033,202226.026543
WAYPOINT,25,shrimp,W21,18.321187,-65.817015,2028023.353841,202231.041116
WAYPOINT,26,shrimp,W22,18.321225,-65.816925,2028027.415018,202240.625738
WAYPOINT,27,shrimp,W23,18.321068,-65.816978,2028010.114307,202234.750854
WAYPOINT,28,shrimp,W24,18.321271,-65.816900,2028032.468521,202243.348847
WAYPOINT,29,shrimp,W25,18.321242,-65.816863,2028029.196301,202247.212754
WAYPOINT,30,shrimp,W26,18.321257,-65.816865,2028030.860791,202247.026903
WAYPOINT,31,shrimp,W27,18.321196,-65.816943,2028024.232777,202238.672156
WAYPOINT,32,shrimp,W28,18.321358,-65.816926,2028042.146125,202240.747791
WAYPOINT,33,shrimp,W29,18.321408,-65.816951,2028047.724421,202238.189130
WAYPOINT,34,shrimp,W30,18.321198,-65.817069,2028024.660416,202225.348241
WAYPOINT,35,shrimp,W31,18.321243,-65.817002,2028029.534455,202232.512088
WAYPOINT,36,shrimp,W32,18.321232,-65.816973,2028028.268783,202235.560648
WAYPOINT,37,shrimp,W33,18.321243,-65.817003,2028029.536091,202232.406315
WAYPOINT,38,shrimp,W34,18.321339,-65.816991,2028040.148257,202233.840035
WAYPOINT,39,shrimp,W35,18.320327,-65.825060,2027941.291100,201378.621156
WAYPOINT,40,shrimp,W36,18.320608,-65.825025,2027972.354010,201382.805949
